"","Name_of_Organisation","Type","Country","Divestment_Type","More_Info","Policy"
"284"," 'http://www.stromstad.se/' City of Strömstad","Government","Sweden","Full","'http://gofossilfree.org/se/'",1
"285"," 'http://www.stuttgart.de/en/' City of Stuttgart","Government","Germany","Partial","'http://gofossilfree.org/stuttgart-pulls-out-of-fossil-fuels/'",1
"286"," 'https://sudbury.ma.us/' City of Sudbury, MA","Government","USA","Full","'http://www.treehugger.com/corporate-responsibility/fossil-fuel-divestment-spreads-massachusetts-3-towns-ten-days.html'",1
"287"," 'https://sunnyvale.ca.gov/' City of Sunnyvale","Government","USA","","'http://fossilfreeca.org/campaigns/city-county/'",1
"288"," 'https://www.swan.wa.gov.au/Home' City of Swan","Government","Australia ","Full","'https://350.org.au/news/two-wa-councils-dump-fossil-fuel-investments/'",1
"289"," 'http://www.cityofsydney.nsw.gov.au/' City of Sydney","Government","Australia","Full","'https://www.theguardian.com/environment/2016/sep/06/city-of-sydney-council-divest-fossil-fuels-regardless-election-result'",1
"290"," 'http://www.truro-ma.gov/' City of Truro, MA","Government","USA","Full","'http://www.wbur.org/2014/03/14/mass-fossil-fuel-divestment'",1
"291"," 'https://www.uppsala.se/' City of Uppsala","Government","Sweden","Full","'http://gofossilfree.org/uppsala-divests/'",1
"292","City of Venissieux","Government","France","Full","",1
"293"," 'http://www.vincent.wa.gov.au/Home' City of Vincent","Government","Australia ","Full","'https://350.org.au/news/city-of-vincent-dumps-investments-in-coal-oil-and-gas/'",1
"294"," 'http://www.wodonga.vic.gov.au/' City of Wodonga","Government","Australia","Full","'http://350.org.au/news/wodonga-council-says-goodbye-to-fossil-fuel-investments/'",1
"295","City of la Rochelle","Government","France","Full","'http://www.ville-larochelle.fr/fileadmin/user_upload/www.ville-larochelle.fr/la_mairie/Conseil_municipaux/CR_25_janvier_2016.pdf'",1
"296"," 'http://www.orebro.se' City of Örebro","Government","Sweden","Full","'http://gofossilfree.org/se/press-release/orebro-first-swedish-city-to-divest-from-fossil-fuels/'",1
"297"," 'ostersund.se' City of Östersund","Government","Sweden","Full","'https://gofossilfree.org/se/wp-content/uploads/sites/13/2017/05/Placeringsreglemente.pdf'",1
"298","City of&nbsp;Savenay","Government","France","Full","'http://gofossilfree.org/fr/wp-content/uploads/sites/11/2016/01/savenay.pdf'",1
"299"," 'https://www.clarehall.cam.ac.uk/' Clare Hall, Cambridge","Educational Institution","UK","Full","'https://www.varsity.co.uk/news/17293'",1
"300"," 'http://claretnivaskandy.blogspot.com/2019/' Claretian Missionaries","Faith-based Organization","Sri Lanka","Fossil Free","",1
"301","Claudia Graham Superannuation Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"302"," 'http://www.cleanwateraction.org/' Clean Water Action","NGO","USA","Full","'http://www.cleanwateraction.org/investment-policy-fossil-fuels'",1
"303"," 'http://www.cana.net.au/' Climate Action Network Australia","NGO","Australia","Full","",1
"304"," 'https://www.climatestewards.org/' Climate Stewards","Faith-based Organization","UK","Full","",1
"305","Colegio de Graduados en Cooperativismo y Mutualismo","Faith-based Organization","Argentina","Partial","",1
"306"," 'http://www.coa.edu/' College of the Atlantic","Educational Institution","USA","Full","'https://coa.edu/about/environmental-commitment/investment/'",1
"307"," 'http://www.cmi.edu/' College of the Marshall Islands","Educational Institution","Republic of the Marshall Islands","Full","'https://scontent-2.2914.fna.fbcdn.net/hphotos-xpa1/v/t1.0-9/10850118_408482165969476_7787020309863863597_n.jpg?oh=8264d4ccfc6eb7dafcc4fc10535fd672&amp;oe=55959A78'",1
"308"," 'http://www.coloradoratnashri.net/' Colorado Ratnashri Sangha","Faith-based Organization","USA","Full","'http://www.arabellaadvisors.com/wp-content/uploads/2014/09/Measuring-the-Global-Divestment-Movement.pdf'",1
"309"," 'http://www.columbia.edu' Columbia University in the City of New York","Educational Institution","USA","Coal Only","'http://news.columbia.edu/coal'",1
"310","Comart Foundation","Philanthropic Foundation","Canada","Full","'http://350.org/press-release/comart-foundation-divests/'",1
"311","Comissão Arquidiocesana de Justiça e Paz de Luanda","Faith-based Organization","Angola","Fossil Free","",1
"312"," 'www.missiondefrance.fr' Communauté Mission de France","Faith-based Organization","France","Full","",1
"313"," 'https://www.cecsb.org/' Community Environmental Council","NGO","USA","Full","'https://docs.google.com/spreadsheets/d/1ITuobt3gONpX45JM4AY9i5DUaCZ3reTRiEm_Bt9_kDY/edit#gid=231791904'",1
"314"," 'https://www.quakercloud.org/cloud/community-friends-meeting' Community Friends Quaker Meeting in Cincinnati, OH","Faith-based Organization","USA","Full","",1
"315"," 'http://www.communityimpactfoundation.com.au/' Community Impact Foundation","Philanthropic Foundation","Australia","Full","",1
"316"," 'https://www.comptonfoundation.org/' Compton Foundation","Philanthropic Foundation","USA","Full","",1
"317"," 'https://www.concordia.ca/' Concordia University","Educational Institution","Canada","Full","'https://montrealgazette.com/news/local-news/concordia-vows-to-divest-from-fossil-fuels-invest-in-sustainable-funds?fbclid=IwAR2tLFulCgugnrq5GmJidAXqyrlbHSa-FEt8ZJiU-AGTJ7OJ45qk7xShqEQ'",1
"318","Confederación Interamericana de Educación Católica - CIEC","Faith-based Organization","Colombia","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"319"," 'https://www.congregationofjesus.org.uk/' Congregation of Jesus (English Province)","Faith-based Organization","UK","Full","'https://brightnow.org.uk/news/epiphany-declaration-20-christian-organisations-divest/'",1
"320"," 'https://www.cnd-csa.org/' Congregation of Our Lady, Canonesses of St Augustine (UK Delegation)","Faith-based Organization","UK","Full","'https://brightnow.org.uk/news/faith-institutions-launch-new-wave-of-divestment/'",1
"321"," 'https://www.cnd-csa.org/' Congregation of Our Lady, Canonesses of St Augustine (UK Delegation)","Faith-based Organization","United Kingdom","Full","",1
"322"," 'http://www.cbsg.org/' Conservation Breeding Specialist Group","NGO","USA","Full","'http://www.cbsg.org/blog/201402/leading-conservation-group-divests-fossil-fuel'",1
"323"," 'https://coolhive.com/' Cool Hive","For Profit Corporation","USA","Full","'From Divest Invest '",1
"324"," 'https://www.cornell.edu/' Cornell University","Educational Institution","USA","Full","'https://cornellsun.com/2020/05/24/cornell-will-effectively-divest-from-fossil-fuels-heres-everything-you-need-to-know/'",1
"325"," 'http://canadians.org/' Council of Canadians","NGO","Canada","Full","",1
"326"," 'http://wupj.org/congregations/australia.asp' Council of Progressive Rabbis of Australia, Asia, and New Zealand","Faith-based Organization","Australia","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"327","Country of Ireland","Government","Ireland","Full","'http://www.independent.co.uk/news/world/europe/ireland-votes-divest-fossil-fuels-climate-change-world-first-country-parliament-renewable-energy-a7549121.html'",1
"328","County council of Loiret","Government","France","Full","'http://www.loiret.fr/jsp/saisie/liste_fichiergw.jsp?OBJET=DOCUMENT&amp;CODE=1452067328779&amp;LANGUE=0'",1
"329"," 'http://www.cranfield.ac.uk/' Cranfield University","Educational Institution","UK","Coal and Tar Sands Only","'http://blog.peopleandplanet.org/blog/2015/11/10/university-fossil-fuel-divestment-doubles-ahead-of-paris-climate-talks-press-release/'",1
"330"," 'http://www.pgdiocese.org/' Creation Justice Commission","Faith-based Organization","Malaysia","Fossil Free","",1
"331","Creedon Educational Trust","Faith-based Organization","Ireland","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"332"," 'https://www.creighton.edu/' Creighton University","Educational Institution","USA","Full","'https://www.ncronline.org/news/earthbeat/creighton-university-divest-fully-fossil-fuels-within-10-years'",1
"333","Cristo Misionero del Padre","Faith-based Organization","Peru","Full","",1
"334"," 'https://www.totalgiving.co.uk/charity/the-cutler-trust' Cutler Trust","Philanthropic Foundation","UK","Full","'From Divest Invest '",1
"335"," 'www.dkm.de' DKM Darlehnskasse Münster eG","Faith-based Organization","Germany","Coal and Tar Sands Only","'https://docs.google.com/spreadsheets/d/1ftIRg5MMZGCXJyOQd9pYJXJw80IZkutjDFCwaIXP_lo/edit#gid=0'",1
"336","Dan Mathews Superannuation Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"337"," 'https://www.countyofdane.com/' Dane County, WI","Government","USA","Full","'http://www.nbc15.com/home/headlines/Dane-County-divests-from-fossil-fuels-210517061.html'",1
"338","Darwin Superannuation Fund","Pension Fund","Australia","Full","",1
"339","Davara Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"340"," 'http://www.davidsuzuki.org/' David Suzuki Foundation","Philanthropic Foundation","Canada","Full","'http://www.davidsuzuki.org/blogs/panther-lounge/2015/02/divestment-movement-grows/'",1
"341"," 'https://www.dmu.ac.uk/' De Montfort University","Educational Institution","UK","Coal and Tar Sands Only","'http://www.dmu.ac.uk/about-dmu/dmu-estate/environmental/ethical-investment-policy.aspx'",1
"342","Decco Superannuation Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"343","Departmental council of Essonne","Government","France","Full","'http://rge91.fr/wp-content/uploads/2016/03/Assembl%C3%A9e-D%C3%A9partementale-du-14-Mars-2016.pdf'",1
"344"," 'https://www.derby.gov.uk/' Derby City Council","Government","UK","Full","",1
"345"," 'http://www.tutu.org.za/' Desmond &amp; Leah Tutu Legacy Foundation","Philanthropic Foundation","South Africa","Full","'http://www.tutu.org.za/desmond-leah-tutu-legacy-foundation-divests-from-fossil-fuels'",1
"346"," 'https://www.dbu.de/' Deutsche Bundesstiftung Umwelt","Philanthropic Foundation","Germany","Partial","'https://www.dbu.de/708ibook77949_36998_2486.html'",1
"347"," 'https://www.devonportbaptist.co.uk/' Devonport Baptist Church, Plymouth","Faith-based Organization","UK","Full","'https://brightnow.org.uk/news/epiphany-declaration-20-christian-organisations-divest/'",1
"348"," 'http://www.diakonia.se/en/' Diakonia","NGO","Sweden","Full","",1
"349","Dijon","Government","France","Coal Only","'http://21.eelv.fr/desinvestissement-carbone-voeu-presente-par-les-elus-de-la-majorite-municipale-au-conseil-municipal-du-lundi-16-novembre-2015/'",1
"350","Diocese de São José dos Campos","Faith-based Organization","Brazil","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"351","Diocese of Arundel &amp; Brighton","Faith-based Organization","United Kingdom","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"352"," 'http://www.diocesiassisi.it/' Diocese of Assisi","Faith-based Organization","Italy","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"353"," 'https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Caserta' Diocese of Caserta","Faith-based Organization","Italy","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"354"," 'http://diocesigubbio.it/' Diocese of Gubbio","Faith-based Organization","Italy","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"355"," 'http://www.lancasterdiocese.org.uk/' Diocese of Lancaster","Faith-based Organization","UK","Full","'https://brightnow.org.uk/news/epiphany-declaration-20-christian-organisations-divest/'",1
"356"," 'https://www.diocese-lgf.ch/accueil.html' Diocese of Lausanne","Faith-based Organization","Switzerland","Fossil Free","'https://www.diocese-lgf.ch/medias/actualites/articles/article/ecologie-leveche-ninvestit-pas-dans-les-energies-fossiles.html'",1
"357","Diocese of Ossory","Faith-based Organization","Ireland","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"358"," 'http://www.gcatholic.org/dioceses/diocese/pado0.htm' Diocese of Padua","Faith-based Organization","Italy","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"359","Diocese of Victoria","Faith-based Organization","Spain","Fossil Free","",1
"360","Diocese of the Holy Spirit of Umuarama","Faith-based Organization","Brazil","","'https://docs.google.com/document/d/1NGFz0NiTR6ylFmmWwHpeyGfCvAI-KhnsR2qQkXsPE4g/edit'",1
"361"," 'http://www.aachen.de/index.html' District of Aachen","Government","Germany","Partial","'https://gofossilfree.org/de/press-release/staedteregion-aachen-trennt-sich-vom-klimakiller-rwe-und-investiert-stattdessen-in-strukturwandel/'",1
"362"," 'http://dcrb.dc.gov/' District of Columbia Retirement Board","Pension Fund","USA","Full","'http://dcdivest.org/2016/06/06/dc-divests-pension-fund-oil-gas-coal-companies/'",1
"363","Ditton's Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"364","Dobra Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"365"," 'http://filles-de-la-charite.org/fr/' Dochters der Liefde - Filles de la Charité","Faith-based Organization","Belgium","Full","",1
"366"," 'http://dea.org.au/' Doctors for the Environment Australia","NGO","Australia","Full","'http://dea.org.au/topics/category/divestment'",1
"367","Dominican Sisters of Mary","Faith-based Organization","Uganda","Full","",1
"368","Douglas Superannuation Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"369"," 'https://www.quakercloud.org/cloud/dover-friends-meeting' Dover Friends Meeting","Faith-based Organization","USA","Full","",1
"370","Dronfield Baptist Church","Faith-based Organization","United Kingdom","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"371"," 'https://www.dunscorechurch.co.uk/' Dunscore Parish Church (Church of Scotland) ","Faith-based Organization","UK","Full","'Dunscore Board Statement'",1
"372"," 'https://www.dur.ac.uk/' Durham University","Educational Institution","UK","Full","'https://www.dur.ac.uk/news/newsitem/?itemno=34005'",1
"373"," 'http://www.esf.edu/development/esffoundation/' ESF College Foundation, Inc.","Educational Institution","USA","Full","'http://www.esf.edu/communications/view.asp?newsID=3985&amp;utm_content=buffer6f2bd&amp;utm_medium=social&amp;utm_source=twitter.com&amp;utm_campaign=buffer'",1
"374","Earth Super Fund","Pension Fund","Australia","Full","",1
"375","Earth Welfare Foundation","Philanthropic Foundation","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge/c1t44'",1
"376"," 'http://earthjustice.org/' Earthjustice","NGO","USA","Full","",1
"377"," 'http://earthsong.org.au/' Earthsong","Faith-based Organization","Australia","Full","",1
"378"," 'http://www.eastminsteruc.org/' Eastminster United Church","Faith-based Organization","Canada","Full","'http://www.insidetoronto.com/news-story/4621937-eastminster-united-church-divests-from-fossil-fuel-investments/'",1
"379"," 'http://eastsideaudubon.org/' Eastside Audobon Society","NGO","USA","Full","'http://eastsideaudubon.org/corvid-crier-stories-2015-09/eas-board-votes-to-divest-from-fossil-fuels'",1
"380"," 'https://ecotrust.org/' Ecotrust","NGO","USA","Full","",1
"381"," 'http://www.emoregon.org/' Ecumenical Ministries of Oregon","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"382"," 'http://hazenfoundation.org/' Edward W. Hazen Foundation","Philanthropic Foundation","USA","Full","",1
"383"," 'http://edwardsmotherearth.org/' Edwards Mother Earth Foundation","Philanthropic Foundation","USA","Full","",1
"384","Eileen and Terry Lustig Family Superannuation Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"385","El Jayar Enterprises Pty Ltd Employees Provident Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"386"," 'https://www.emma.cam.ac.uk/' Emmanuel College, Cambridge","Educational Institution","UK","Full","'https://www.varsity.co.uk/news/17586?fbclid=IwAR0e6AduRXLG4YM_SCV58-Ct914s7h4EAVoMQsw5pqCZ8uTX39rOMrmLJKc'",1
"387"," 'http://www.englishfoundation.org.au/' English Family Foundation","Philanthropic Foundation","Australia","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"388","English Province of the Congregation of Christian Brothers","Faith-based Organization","Ireland","Fossil Free","",1
"389"," 'https://www.eapf.org.uk/' Environment Agency Pension Fund","Pension Fund","UK","Partial","'http://www.theguardian.com/environment/2015/oct/19/uk-environment-agency-divests-landmark-move-help-meet-2c-limit'",1
"390"," 'http://www.environmentamerica.org/' Environment America","NGO","USA","Full","",1
"391"," 'http://egiuganda.org/home/about-us/' Environment Governance Institute","NGO","Uganda","Full","'From Divest Invest '",1
"392"," 'http://www.eesi.org/' Environmental and Energy Study Institute","NGO","USA","Full","'http://www.eesi.org/press-releases/view/eesi-moves-100-of-stock-holdings-to-socially-responsible-funds'",1
"393"," 'http://www.episcopalchurch.org/' Episcopal Church, USA","Faith-based Organization","USA","Partial","'http://www.theguardian.com/world/2015/jul/03/episcopal-church-fossil-fuel-divestment'",1
"394"," 'http://www.episcopalcitymission.org/' Episcopal City Mission, Boston, Massachusetts","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"395","Episcopal Commision for Justice and Peace","Faith-based Organization","Bangladesh","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"396"," 'https://www.katholisch.at/site/home' Episcopal Conference of Austria","Faith-based Organization","Austria","Full","'https://www.katholisch.at/aktuelles/125152/kirche-zieht-geld-aus-umweltschaedlichen-firmen-ab'",1
"397"," 'http://www.cathobel.be/' Episcopal Conference of Belgium","Faith-based Organization","Belgium","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"398"," 'http://www.diocal.org/' Episcopal Diocese of California","Faith-based Organization","USA","Full","",1
"399"," 'http://www.ladiocese.org/' Episcopal Diocese of Los Angeles, CA","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"400"," 'http://www.diomass.org/' Episcopal Diocese of Massachusetts","Faith-based Organization","USA","Full","",1
"401"," 'http://www.episcopal-ne.org/' Episcopal Diocese of Nebraska","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"402"," 'http://ecww.org/' Episcopal Diocese of Olympia","Faith-based Organization","USA","Full","'http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts'",1
"403"," 'https://www.diocesewma.org/' Episcopal Diocese of Western Massachusetts","Faith-based Organization","USA","Full","",1
"404"," 'http://www.erste-am.com/en/' Erste Asset Management","For Profit Corporation","Austria","Coal Only","'http://blog.en.erste-am.com/2016/10/13/erste-asset-management-bans-coal-mines-from-all-mutual-funds/'",1
"405"," 'http://www.estwatch.ee/en/home/' Estwatch","NGO","Estonia","Full","'From Divest Invest '",1
"406","Etherington Family Super Fund","Pension Fund","Australia","Full","'https://www.divestinvestaustralia.org.au/commitments'",1
"407"," 'https://www.elca.org/' Evangelical Lutheran Church in America","Faith-based Organization","USA","Full","'https://www.lutheranworld.org/news/lwf-announces-decision-not-invest-fossil-fuels'",1
"408"," 'http://www.oregonsynod.org/' Evangelical Lutheran Church of Oregon","Faith-based Organization","USA","Full","",1
"409"," 'https://www.ekbo.de/startseite.html' Evangelische Kirchengemeinde Berlin-Brandenburg-Schlesische-Oberlausitz (EKBO)","Faith-based Organization","Germany","Full","'https://www.kirchenrecht-ekbo.de/document/24690'",1
"410"," 'https://www.fadica.org/' FADICA - Foundations and Donors Interested in Catholic Activities","Faith-based Organization","US","Full","",1
"411"," 'http://www.berlin.de/en/' Federal State of Berlin","Government","Germany","Full","'http://www.huffingtonpost.com/entry/berlin-fossil-fuels-divest_us_576bf316e4b08cbaeab18794'",1
"412"," 'https://www.bremen.de' Federal State of Bremen","Government","Germany","Full","'https://globaldivestmentmobilisation.org/bremen-germany-commits-to-divest-2/'",1
"413"," 'http://www.focsiv.it/' Federation of Christian Organisations for the International Voluntary Service (FOCSIV) ","Faith-based Organization","Italy","","'https://docs.google.com/document/d/1NGFz0NiTR6ylFmmWwHpeyGfCvAI-KhnsR2qQkXsPE4g/edit'",1
"414"," 'https://www.facebook.com/Fertotal-sarl-206052412786283/' Fertotal s.a.r.l.","For Profit Corporation","Lebanon","Full","'From Divest Invest '",1
"415"," 'https://www.fieldmuseum.org/' Field Museum in Chicago","Cultural Institution","USA","Full","'https://insideclimatenews.org/news/15112015/science-museums-cut-financial-ties-fossil-fuel-industry-field-museum-california-academy-sciences'",1
"416"," 'https://www.thefinelawfirm.com/' Fine Law Firm","For Profit Corporation","USA","Full","'https://docs.google.com/spreadsheets/d/1ITuobt3gONpX45JM4AY9i5DUaCZ3reTRiEm_Bt9_kDY/edit#gid=231791904'",1
"417"," 'http://www.firstchurchamherst.org/' First Congregational Church in Amherst, MA","Faith-based Organization","USA","Full","'http://www.gazettenet.com/news/specialcoverage/goinggreen/17335751-95/first-congregational-church-in-amherst-to-halt-fossil-fuel-investments'",1
"418"," 'http://www.firstparish.info/index.php' First Parish Church UU, MA","Faith-based Organization","USA","Full","",1
"419"," 'http://firstparishcambridge.org/' First Parish Unitarian Universalist Church in Cambridge, MA","Faith-based Organization","USA","Full","'http://firstparishcambridge.org/files/RESOLUTIONSINSUPPORTOFDIVESTMENT.pdf'",1
"420"," 'http://firstparish.org/' First Parish in Concord, UU, MA","Faith-based Organization","USA","Full","'https://divestfossilfuels.files.wordpress.com/2014/07/press-release-first-parish-concord-divests-final.pdf'",1
"421"," 'http://www.oldshipchurch.org/' First Parish in Hingham, Unitarian Universalist - Old Ship Church, MA","Faith-based Organization","USA","Full","",1
"422"," 'http://www.oldfirstchurch.org/' First Presbyterian Church, Tallahassee, FL","Faith-based Organization","USA","Full","",1
"423"," 'http://fprespa.org/' First Presbyterian Palo Alto, CA","Faith-based Organization","USA","Full","",1
"424"," 'https://www.frsuu.org/' First Religious Society of Newburyport, MA","Faith-based Organization","USA","Full","",1
"425"," 'https://firststatesuper.com.au/' First State Super","Pension Fund","Australia","Partial","",1
"426"," 'http://ucdsm.org/' First Unitarian Church of Des Moines, IA","Faith-based Organization","USA","Full","",1
"427"," 'http://pittsfielduu.org/' First Unitarian Church of Pittsfield, ME","Faith-based Organization","USA","Full","'http://gofossilfree.org/pittsfield-me-unitarian-universalists-put-their-money-where-their-faith-is/'",1
"428"," 'http://www.firstunitarianportland.org/' First Unitarian Church of Portland, OR","Faith-based Organization","USA","Fossil Free","",1
"429"," 'http://rochesterunitarian.org/' First Unitarian Church of Rochester, NY","Faith-based Organization","USA","Full","'https://divestfossilfuels.files.wordpress.com/2014/07/first-unitarian-church-of-rochester-ny.pdf'",1
"430"," 'http://www.slcuu.org/' First Unitarian Church of Salt Lake City, UT","Faith-based Organization","USA","Fossil Free","",1
"431"," 'http://victoriaunitarian.ca/' First Unitarian Church of Victoria","Faith-based Organization","Canada","Full","'http://cusj.org/fossil-free-cuc-congregations/'",1
"432"," 'http://www.firstunitarianottawa.ca/' First Unitarian Church, Ottawa, ON","Faith-based Organization","Canada","Full","",1
"433"," 'http://www.firstunitarianottawa.ca/' First Unitarian Congregation of Ottawa","Faith-based Organization","Canada","Full","'http://cusj.org/fossil-free-cuc-congregations/'",1
"434"," 'http://uumilwaukee.org/' First Unitarian Society of Milwaukee, WI","Faith-based Organization","USA","Full","",1
"435"," 'http://firstunitariantoronto.org/' First Unitarian Toronto, ON","Faith-based Organization","Canada","Full","",1
"436","First district of the city of Lyon","Government","France","Full","'http://lyon.eelv.fr/un-voeu-pour-accelerer-le-desinvestissement-carbone-des-partenaires-de-la-ville-communique-de-presse-3-novembre-2015/'",1
"437","Flame Tree Super Fund","Pension Fund","Australia","Full","",1
"438","Flou Flou Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"439"," 'http://www.focolaritalia.it/' Focolare Movement","Faith-based Organization","Italy","Full","",1
"440"," 'http://follen.org/' Follen Community Church UU, MA","Faith-based Organization","USA","Full","",1
"441","Fondacion eco Conciencia","Philanthropic Foundation","","","'http://divestinvest.org/philanthropy/signatories/#/signatories/fundacion-ecoconciencia'",1
"442"," 'http://www.fph.ch/' Fondation Charles Leopold Mayer","Philanthropic Foundation","France","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"443"," 'http://www.fondationcarasso.org/en/premio-daniel-carasso-0' Fondation Daniel et Nina Carasso","Philanthropic Foundation","France","","'http://divestinvest.org/philanthropy/signatories/#/signatories/daniel-nina-carroso-fondation'",1
"444"," 'http://www.france-libertes.org/' Fondation France Libertés","Philanthropic Foundation","France","Fossil Free","'http://350.org/fr/'",1
"445"," 'http://www.fondation-nicolas-hulot.org/' Fondation Nicolas Hulot Pour La Nature Et L'Homme","Philanthropic Foundation","France","","'http://divestinvest.org/philanthropy/signatories/#/signatories/fondation-nicolas-hulot-pour-la-nature-et-lhomme'",1
"446","Fondation ensemble","Philanthropic Foundation","France","","'http://divestinvest.org/philanthropy/signatories/#/signatories/fondation-ensemble'",1
"447","Fondazione MAGIS","Faith-based Organization","Italy","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"448"," 'http://www.fondsdereserve.fr/en' Fonds de reserve pour les retraites","Pension Fund","France","Partial","'https://www.ipe.com/news/esg/french-pension-reserve-fund-turns-its-back-on-tobacco-coal/10016717.fullarticle'",1
"449"," 'www.fondsftq.com' Fonds de solidarité FTQ","For Profit Corporation","Canada","Coal Only","'http://www.fondsftq.com/en/salle-de-presse/liste-communiques-de-presse/communique.aspx?nom=20170930-Transition-energitique'",1
"450"," 'http://www.fhda.edu/' Foothill-De Anza Community College Foundation","Educational Institution","USA","Full","",1
"451"," 'http://www.footprintfoundation.org/' Footprint Foundation","Philanthropic Foundation","USA","","'http://divestinvest.org/philanthropy/signatories/#/signatories/footprint-foundation'",1
"452"," 'http://forsythiafoundation.org/' Forsythia Foundation","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"453"," 'http://www.catholicactionforum.org' Forum Internazionale Azione Cattolica","Faith-based Organization","Italy","Full","",1
"454","Foundation for Business and Society","Philanthropic Foundation","Norway","Full","",1
"455","Franciscan Action Network","Faith-based Organization","USA","Full","'https://docs.google.com/spreadsheets/d/17bL4y1ufCrawR1HMc25OsyPL55F8xSgmu5KIpHofaRM/edit#gid=0'",1
"456"," 'http://www.franciscanstor.org/' Franciscan Friars TOR Society","Faith-based Organization","Bangladesh","Fossil Free","'https://docs.google.com/spreadsheets/d/1ftIRg5MMZGCXJyOQd9pYJXJw80IZkutjDFCwaIXP_lo/edit#gid=0'",1
"457","Franciscan Missionary Sisters for Africa","Faith-based Organization","Zambia","Full","",1
"458","Franciscan Servants of Mary Queen of Love","Faith-based Organization","Kenya","Full","",1
"459"," 'http://www.franciscansm.org/' Franciscan Sisters Minoress","Faith-based Organization","UK","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"460"," 'http://www.franciscansm.org/' Franciscan Sisters Minoress","Faith-based Organization","UK","Full","'https://brightnow.org.uk/news/faith-institutions-announce-divestment-fossil-fuels/'",1
"461"," 'https://www.fsmonline.org/' Franciscan Sisters of Mary","Faith-based Organization","USA","Full","'http://gofossilfree.org/commitments/'",1
